"date","speaking","pitch","energy","nodding"
Date(2016,02,03,00,05,51,00);1;206.61271;0.00908
Date(2016,02,03,00,05,52,00);1;229.67922;0.01102
Date(2016,02,03,00,05,53,00);1;212.00025;0.00393
Date(2016,02,03,00,05,54,00);1;228.77918;0.00648
Date(2016,02,03,00,05,55,00);1;221.01981;0.00399
Date(2016,02,03,00,05,56,00);1;202.22938;0.00110
Date(2016,02,03,00,05,57,00);1;207.36244;0.00606
Date(2016,02,03,00,05,58,00);1;224.78560;0.00385
Date(2016,02,03,00,05,59,00);1;205.45927;0.00385
Date(2016,02,03,00,06,00,00);1;205.22588;0.00499
Date(2016,02,03,00,06,01,00);1;210.70395;0.00259
Date(2016,02,03,00,06,02,00);1;215.29247;0.00384
Date(2016,02,03,00,06,03,00);1;210.07727;0.00211
Date(2016,02,03,00,06,04,00);1;208.89818;0.00296
Date(2016,02,03,00,06,05,00);1;224.72052;0.00192
Date(2016,02,03,00,06,06,00);1;190.27609;0.00234
Date(2016,02,03,00,06,07,00);1;192.83942;0.00130
Date(2016,02,03,00,06,08,00);1;201.84357;0.00133
Date(2016,02,03,00,06,09,00);1;176.48860;0.00079
Date(2016,02,03,00,06,10,00);1;210.50700;0.00022
Date(2016,02,03,00,06,11,00);1;208.89214;0.00008
Date(2016,02,03,00,06,12,00);0;0.00000;0.00000
Date(2016,02,03,00,06,13,00);0;0.00000;0.00000
Date(2016,02,03,00,06,14,00);0;0.00000;0.00000
Date(2016,02,03,00,06,15,00);0;0.00000;0.00000
Date(2016,02,03,00,06,16,00);0;0.00000;0.00000
Date(2016,02,03,00,06,17,00);0;0.00000;0.00000
Date(2016,02,03,00,06,18,00);0;0.00000;0.00000
Date(2016,02,03,00,06,19,00);1;207.74532;0.00114
Date(2016,02,03,00,06,20,00);1;236.53208;0.00454
Date(2016,02,03,00,06,21,00);1;223.56630;0.00248
Date(2016,02,03,00,06,22,00);1;221.25022;0.00244
Date(2016,02,03,00,06,23,00);1;215.51660;0.00238
Date(2016,02,03,00,06,24,00);1;193.52481;0.00210
Date(2016,02,03,00,06,25,00);1;216.10804;0.00366
Date(2016,02,03,00,06,26,00);1;210.36961;0.00289
Date(2016,02,03,00,06,27,00);1;191.02013;0.00021
Date(2016,02,03,00,06,28,00);1;166.14603;0.00070
Date(2016,02,03,00,06,29,00);1;184.04871;0.00017
Date(2016,02,03,00,06,30,00);1;198.98865;0.00299
Date(2016,02,03,00,06,31,00);1;215.74804;0.00458
Date(2016,02,03,00,06,32,00);1;212.07481;0.00139
Date(2016,02,03,00,06,33,00);1;213.90805;0.00415
Date(2016,02,03,00,06,34,00);1;216.09844;0.00519
Date(2016,02,03,00,06,35,00);1;212.21152;0.00206
Date(2016,02,03,00,06,36,00);1;196.74931;0.00066
Date(2016,02,03,00,06,37,00);1;210.42610;0.00216
Date(2016,02,03,00,06,38,00);1;219.27873;0.00225
Date(2016,02,03,00,06,39,00);1;199.40932;0.00265
Date(2016,02,03,00,06,40,00);1;208.96201;0.00317
Date(2016,02,03,00,06,41,00);1;212.98168;0.00211
Date(2016,02,03,00,06,42,00);1;235.83675;0.00152
Date(2016,02,03,00,06,43,00);1;215.69730;0.00167
Date(2016,02,03,00,06,44,00);1;180.55305;0.00120
Date(2016,02,03,00,06,45,00);1;185.78968;0.00174
Date(2016,02,03,00,06,46,00);1;221.04935;0.00800
Date(2016,02,03,00,06,47,00);1;225.40805;0.00327
Date(2016,02,03,00,06,48,00);1;223.23116;0.00229
Date(2016,02,03,00,06,49,00);1;209.48026;0.00226
Date(2016,02,03,00,06,50,00);1;214.19043;0.00040
Date(2016,02,03,00,06,51,00);1;196.53034;0.00111
Date(2016,02,03,00,06,52,00);1;201.14957;0.00021
Date(2016,02,03,00,06,53,00);1;221.52104;0.00140
Date(2016,02,03,00,06,54,00);1;211.57364;0.00247
Date(2016,02,03,00,06,55,00);1;211.81013;0.00245
Date(2016,02,03,00,06,56,00);1;207.56130;0.00139
Date(2016,02,03,00,06,57,00);1;198.78282;0.00000
Date(2016,02,03,00,06,58,00);1;169.47026;0.00000
Date(2016,02,03,00,06,59,00);1;209.86823;0.00358
Date(2016,02,03,00,07,00,00);1;231.26870;0.00603
Date(2016,02,03,00,07,01,00);1;223.77206;0.00281
Date(2016,02,03,00,07,02,00);1;199.13452;0.00103
Date(2016,02,03,00,07,03,00);1;226.58295;0.00602
Date(2016,02,03,00,07,04,00);1;217.77168;0.00398
Date(2016,02,03,00,07,05,00);1;201.69383;0.00162
Date(2016,02,03,00,07,06,00);1;207.36008;0.00160
Date(2016,02,03,00,07,07,00);1;202.67461;0.00323
Date(2016,02,03,00,07,08,00);1;196.90075;0.00112
Date(2016,02,03,00,07,09,00);1;204.35532;0.00345
Date(2016,02,03,00,07,10,00);1;201.15877;0.00134
Date(2016,02,03,00,07,11,00);1;201.95500;0.00249
Date(2016,02,03,00,07,12,00);1;220.82335;0.00383
Date(2016,02,03,00,07,13,00);1;204.52442;0.00615
Date(2016,02,03,00,07,14,00);1;179.88509;0.00194
Date(2016,02,03,00,07,15,00);1;203.55087;0.00336
Date(2016,02,03,00,07,16,00);1;210.59227;0.00236
Date(2016,02,03,00,07,17,00);1;190.88926;0.00142
Date(2016,02,03,00,07,18,00);1;191.37806;0.00047
Date(2016,02,03,00,07,19,00);1;191.13419;0.00009
Date(2016,02,03,00,07,20,00);1;196.19197;0.00059
Date(2016,02,03,00,07,21,00);1;219.42566;0.00349
Date(2016,02,03,00,07,22,00);1;217.04865;0.00122
Date(2016,02,03,00,07,23,00);1;195.44238;0.00187
Date(2016,02,03,00,07,24,00);1;221.34948;0.00417
Date(2016,02,03,00,07,25,00);1;206.47778;0.00144
Date(2016,02,03,00,07,26,00);1;200.99055;0.00283
Date(2016,02,03,00,07,27,00);1;207.03303;0.00164
Date(2016,02,03,00,07,28,00);1;226.87175;0.00460
Date(2016,02,03,00,07,29,00);1;216.17364;0.00190
Date(2016,02,03,00,07,30,00);1;210.20568;0.00090
Date(2016,02,03,00,07,31,00);1;199.32896;0.00067
Date(2016,02,03,00,07,32,00);1;212.43571;0.00638
Date(2016,02,03,00,07,33,00);1;208.38299;0.00524
Date(2016,02,03,00,07,34,00);1;175.73470;0.00153
Date(2016,02,03,00,07,35,00);1;182.29025;0.00119
Date(2016,02,03,00,07,36,00);1;196.73691;0.00080
Date(2016,02,03,00,07,37,00);1;209.13648;0.00326
Date(2016,02,03,00,07,38,00);1;206.73769;0.00113
Date(2016,02,03,00,07,39,00);1;201.86078;0.00162
Date(2016,02,03,00,07,40,00);1;196.57619;0.00166
Date(2016,02,03,00,07,41,00);1;207.88457;0.00089
Date(2016,02,03,00,07,42,00);1;200.46948;0.00135
Date(2016,02,03,00,07,43,00);1;199.70394;0.00015
Date(2016,02,03,00,07,44,00);1;213.41195;0.00207
